municipality,year,daily_count
Machelen,2020,412.551912568306
Machelen,2021,348.1835616438356
Machelen,2022,393.4219178082192
Machelen,2023,393.3917808219178
Machelen,2024,402.9398907103825
Machelen,2025,495.0712328767123
Machelen,2026,699.8161764705883
Malle,2022,345.10285714285715
Malle,2023,325.5342465753425
Malle,2024,337.30054644808746
Malle,2025,369.6356164383562
Malle,2026,339.4888888888889
Mechelen,2022,1444.5027624309391
Mechelen,2023,1615.8219178082193
Mechelen,2024,1690.4262295081967
Mechelen,2025,1808.8657534246574
Mechelen,2026,1754.9117647058824
Melle,2022,494.4347826086956
Melle,2023,660.5123287671233
Melle,2024,627.860655737705
Melle,2025,676.1287671232876
Melle,2026,588.8235294117648
Meulebeke,2022,159.4915254237288
Meulebeke,2023,158.1205479452055
Meulebeke,2024,165.69672131147541
Meulebeke,2025,191.13424657534247
Meulebeke,2026,164.14074074074074
Nevele,2023,305.0493150684932
Nevele,2024,315.85792349726773
Nevele,2025,349.14520547945204
Nevele,2026,324.51851851851853
Nieuwpoort,2022,5222.261682242991
Nieuwpoort,2023,4408.06301369863
Nieuwpoort,2024,4411.748633879782
Nieuwpoort,2025,4617.1972602739725
Nieuwpoort,2026,2821.154411764706
Nijlen,2022,585.7459459459459
Nijlen,2023,608.9013698630137
Nijlen,2024,603.9234972677596
Nijlen,2025,662.3835616438356
Nijlen,2026,645.5
Oostende,2019,1191.7054794520548
Oostende,2020,1162.450819672131
Oostende,2021,1127.572602739726
Oostende,2022,1288.8712328767124
Oostende,2023,1296.3397260273973
Oostende,2024,1363.4071038251366
Oostende,2025,1462.3205479452056
Oostende,2026,1324.2058823529412
Opwijk,2025,206.52325581395348
Opwijk,2026,401.1111111111111
Overijse,2025,262.1781376518219
Overijse,2026,146.875
Peer,2022,400.40143369175627
Peer,2023,349.83287671232875
Peer,2024,403.1967213114754
Peer,2025,468.71232876712327
Peer,2026,469.1470588235294
Pelt,2022,445.0
Pelt,2023,414.3643835616438
Pelt,2024,485.9918032786885
Pelt,2025,519.9890410958905
Pelt,2026,473.34558823529414
Pepingen,2022,318.9744897959184
Pepingen,2023,244.07397260273973
Pepingen,2024,240.50273224043715
Pepingen,2025,254.43287671232878
Pepingen,2026,203.375
Retie,2023,686.5422740524781
Retie,2024,708.9071038251366
Retie,2025,785.0
Retie,2026,739.8088235294117
Roeselare,2022,465.83589743589744
Roeselare,2023,496.56164383561645
Roeselare,2024,488.42896174863387
Roeselare,2025,546.3424657534247
Roeselare,2026,525.4411764705883
St. Pieters Leeuw,2022,118.10919540229885
St. Pieters Leeuw,2023,107.7068493150685
St. Pieters Leeuw,2024,45.55464480874317
St. Pieters Leeuw,2025,104.35342465753425
St. Pieters Leeuw,2026,108.28676470588235
Tervuren,2019,266.82876712328766
Tervuren,2020,453.57103825136613
Tervuren,2021,351.6958904109589
Tervuren,2022,356.15890410958906
Tervuren,2023,401.99441340782124
Tervuren,2024,18.869281045751634
Tervuren,2025,856.427397260274
Tervuren,2026,804.3178294573644
Tienen,2019,1035.3801652892562
Tienen,2020,1164.3251366120219
Tienen,2021,1151.6356164383562
Tienen,2022,1353.4602739726026
Tienen,2023,1431.786301369863
Tienen,2024,1564.5245901639344
Tienen,2025,1692.958904109589
Tienen,2026,1587.8676470588234
Tongeren,2022,121.33216783216783
Tongeren,2023,108.95068493150686
Tongeren,2024,119.59289617486338
Tongeren,2025,135.4082191780822
Tongeren,2026,135.74074074074073
Torhout,2022,324.9367088607595
Torhout,2023,339.32602739726025
Torhout,2024,343.2978142076503
Torhout,2025,399.3972602739726
Torhout,2026,386.94117647058823
Vilvoorde,2022,337.212
Vilvoorde,2023,865.331506849315
Vilvoorde,2024,690.8387978142076
Vilvoorde,2025,584.3479452054795
Vilvoorde,2026,517.6985294117648
Wemmel,2022,175.7091836734694
Wemmel,2023,192.86849315068494
Wemmel,2024,120.26775956284153
