municipality,weather_variable,correlation
Gierle,temperature,0.48834285094792496
Gierle,precipitation,-0.29555304825305984
Gierle,wind_speed,-0.2980385951812259
Gierle,sunshine_duration,0.5154894359792027
Gierle,precipitation_hours,-0.40237541681259525
Grimbergen,temperature,0.36377417547796004
Grimbergen,precipitation,-0.3112503810360008
Grimbergen,wind_speed,-0.31125433806197944
Grimbergen,sunshine_duration,0.4368452314335907
Grimbergen,precipitation_hours,-0.3906463597093159
Hamme,temperature,0.430568314386108
Hamme,precipitation,-0.22087032509253846
Hamme,wind_speed,-0.21380754331186166
Hamme,sunshine_duration,0.39510353450331137
Hamme,precipitation_hours,-0.2747825178603742
Hasselt,temperature,0.40093740327308763
Hasselt,precipitation,-0.2711632171255854
Hasselt,wind_speed,-0.27700078982388837
Hasselt,sunshine_duration,0.3551244421307682
Hasselt,precipitation_hours,-0.34275162454990077
Heers,temperature,0.43477570939793714
Heers,precipitation,-0.2564738480051233
Heers,wind_speed,-0.2948425233701296
Heers,sunshine_duration,0.5493069994890531
Heers,precipitation_hours,-0.3654439140774103
Heist op den Berg,temperature,0.3584677663868415
Heist op den Berg,precipitation,-0.2433629020265877
Heist op den Berg,wind_speed,-0.300332237494123
Heist op den Berg,sunshine_duration,0.38291649209672024
Heist op den Berg,precipitation_hours,-0.35669525435944055
Herent,temperature,0.3272448973530179
Herent,precipitation,-0.2566043305849619
Herent,wind_speed,-0.23602551826331528
Herent,sunshine_duration,0.38731182268598896
Herent,precipitation_hours,-0.3245384465611375
Herentals,temperature,0.35882559997958235
Herentals,precipitation,-0.31027314864363364
Herentals,wind_speed,-0.29269437831576905
Herentals,sunshine_duration,0.4814522011634807
Herentals,precipitation_hours,-0.4073618397142564
Herk De Stad,temperature,0.4822152480115956
Herk De Stad,precipitation,-0.35364769249233163
Herk De Stad,wind_speed,-0.32057926682175686
Herk De Stad,sunshine_duration,0.5516950444311859
Herk De Stad,precipitation_hours,-0.45679542374596954
Heverlee,temperature,0.1883402211959845
Heverlee,precipitation,-0.274615151203161
Heverlee,wind_speed,-0.23305698120697882
Heverlee,sunshine_duration,0.2899466732443558
Heverlee,precipitation_hours,-0.32363980099469397
Hoeilaart,temperature,0.2517024934236802
Hoeilaart,precipitation,-0.3309757392570684
Hoeilaart,wind_speed,-0.25348158243824964
Hoeilaart,sunshine_duration,0.34086075826739287
