municipality,weekday,daily_count
Hasselt,Sunday,3522.1717791411043
Hasselt,Thursday,6166.615853658536
Hasselt,Tuesday,6843.914634146341
Hasselt,Wednesday,6126.530487804878
Heers,Friday,115.10138248847926
Heers,Monday,107.24884792626727
Heers,Saturday,167.12962962962962
Heers,Sunday,180.8101851851852
Heers,Thursday,119.95852534562212
Heers,Tuesday,110.84331797235023
Heers,Wednesday,127.44700460829493
Heist op den Berg,Friday,767.819209039548
Heist op den Berg,Monday,816.7592067988669
Heist op den Berg,Saturday,419.42090395480227
Heist op den Berg,Sunday,421.1444759206799
Heist op den Berg,Thursday,807.6751412429378
Heist op den Berg,Tuesday,837.1643059490085
Heist op den Berg,Wednesday,820.4674220963173
Herent,Friday,1149.3658536585365
Herent,Monday,1219.6470588235295
Herent,Saturday,649.770731707317
Herent,Sunday,659.9607843137255
Herent,Thursday,1254.990243902439
Herent,Tuesday,1320.209756097561
Herent,Wednesday,1255.341463414634
Herentals,Friday,1282.1231527093596
Herentals,Monday,1326.5445544554455
Herentals,Saturday,818.3054187192118
Herentals,Sunday,943.8415841584158
Herentals,Thursday,1444.3663366336634
Herentals,Tuesday,1527.2029702970297
Herentals,Wednesday,1487.3019801980197
Herk De Stad,Friday,761.9539170506912
Herk De Stad,Monday,754.9585253456221
Herk De Stad,Saturday,506.35023041474653
Herk De Stad,Sunday,570.8935185185185
Herk De Stad,Thursday,805.7834101382489
Herk De Stad,Tuesday,855.147465437788
Herk De Stad,Wednesday,878.110599078341
Heverlee,Friday,1106.0146341463415
Heverlee,Monday,1066.5294117647059
Heverlee,Saturday,734.7121951219513
Heverlee,Sunday,850.9558823529412
Heverlee,Thursday,1148.8634146341462
Heverlee,Tuesday,1151.8341463414633
Heverlee,Wednesday,1139.1560975609757
Hoeilaart,Friday,278.4761904761905
Hoeilaart,Monday,340.4878048780488
Hoeilaart,Saturday,235.52380952380952
Hoeilaart,Sunday,395.2682926829268
Hoeilaart,Thursday,354.4146341463415
Hoeilaart,Tuesday,368.5609756097561
Hoeilaart,Wednesday,331.9512195121951
Houthalen-Helchteren,Friday,357.0426829268293
Houthalen-Helchteren,Monday,382.19018404907973
Houthalen-Helchteren,Saturday,406.9939024390244
Houthalen-Helchteren,Sunday,564.4049079754601
Houthalen-Helchteren,Thursday,415.530487804878
Houthalen-Helchteren,Tuesday,422.28834355828224
Houthalen-Helchteren,Wednesday,428.359756097561
Ieper,Friday,648.7621359223301
Ieper,Monday,675.4029126213592
Ieper,Saturday,411.9466019417476
Ieper,Sunday,368.5853658536585
Ieper,Thursday,686.8834951456311
Ieper,Tuesday,712.6796116504854
Ieper,Wednesday,721.2233009708738
Kampenhout,Friday,691.4682926829269
Kampenhout,Monday,712.2634146341463
Kampenhout,Saturday,558.1078431372549
Kampenhout,Sunday,552.656862745098
Kampenhout,Thursday,748.2878048780487
Kampenhout,Tuesday,805.6780487804878
Kampenhout,Wednesday,786.1414634146341
Kortrijk,Friday,2038.0621468926554
Kortrijk,Monday,2009.688385269122
Kortrijk,Saturday,1455.4378531073446
Kortrijk,Sunday,1010.1133144475921
Kortrijk,Thursday,2014.6073446327684
Kortrijk,Tuesday,2036.4759206798867
Kortrijk,Wednesday,2040.456090651558
Lanaken,Friday,625.8202764976959
Lanaken,Monday,643.3101851851852
Lanaken,Saturday,530.6666666666666
Lanaken,Sunday,553.8981481481482
Lanaken,Thursday,654.8341013824885
Lanaken,Tuesday,702.0138248847926
Lanaken,Wednesday,679.0645161290323
Leuven,Friday,7982.970731707317
Leuven,Monday,8111.2878048780485
Leuven,Saturday,5407.8536585365855
Leuven,Sunday,4801.436274509804
Leuven,Thursday,8723.89268292683
Leuven,Tuesday,8890.878048780487
Leuven,Wednesday,8651.073170731708
Lier,Friday,563.5759493670886
Lier,Monday,588.5094339622641
Lier,Saturday,328.47133757961785
Lier,Sunday,292.9559748427673
Lier,Thursday,617.7088607594936
Lier,Tuesday,647.4276729559748
Lier,Wednesday,616.1455696202531
Lokeren,Friday,650.2380952380952
Lokeren,Monday,641.1702127659574
Lokeren,Saturday,446.1968085106383
Lokeren,Sunday,408.01063829787233
Lokeren,Thursday,620.6984126984127
Lokeren,Tuesday,649.0585106382979
Lokeren,Wednesday,700.3809523809524
Lommel,Friday,564.0879629629629
Lommel,Monday,557.3703703703703
Lommel,Saturday,418.56018518518516
Lommel,Sunday,400.89814814814815
Lommel,Thursday,582.7916666666666
Lommel,Tuesday,599.8101851851852
Lommel,Wednesday,646.9166666666666
Lummen,Friday,158.78341013824885
Lummen,Monday,166.33796296296296
Lummen,Saturday,116.3225806451613
Lummen,Sunday,131.7037037037037
Lummen,Thursday,175.95852534562212
Lummen,Tuesday,186.2073732718894
Lummen,Wednesday,180.67741935483872
Maaseik,Friday,815.3813953488373
Maaseik,Monday,779.107476635514
Maaseik,Saturday,802.4651162790698
Maaseik,Sunday,1063.5046728971963
Maaseik,Thursday,840.4
Maaseik,Tuesday,847.1348837209302
Maaseik,Wednesday,915.8418604651163
Maasmechelen,Friday,337.6666666666667
Maasmechelen,Monday,322.4093023255814
Maasmechelen,Saturday,246.4
Maasmechelen,Sunday,187.3813953488372
Maasmechelen,Thursday,331.2037037037037
Maasmechelen,Tuesday,346.2546296296296
Maasmechelen,Wednesday,345.30555555555554
Machelen,Friday,405.6497175141243
Machelen,Monday,447.37110481586404
Machelen,Saturday,283.6666666666667
Machelen,Sunday,345.75637393767704
Machelen,Thursday,472.8050847457627
